Market,Variety,Modal_Price,Commodity_Code,month,year,season,day_of_week
0,1,3660,13,0,2016,5,1
0,1,3711,13,1,2016,5,5
0,1,3715,13,1,2016,5,2
0,1,3715,13,1,2016,5,3
0,1,3685,13,1,2016,5,3
0,1,3690,13,1,2016,5,4
0,1,3710,13,1,2016,5,1
0,1,3750,13,2,2016,3,1
0,1,4027,13,3,2016,3,1
0,1,4012,13,3,2016,3,2
0,1,3926,13,3,2016,3,3
0,1,3851,13,3,2016,3,3
0,1,3710,13,4,2016,4,1
0,1,3850,13,5,2016,4,1
0,1,3840,13,5,2016,4,2
0,1,3635,13,5,2016,4,1
0,1,3460,13,6,2016,1,6
0,1,3470,13,7,2016,1,3
0,1,3480,13,7,2016,1,6
0,1,3500,13,7,2016,1,3
0,1,3350,13,7,2016,1,1
0,1,3225,13,8,2016,0,5
0,1,3175,13,8,2016,0,4
0,1,3275,13,8,2016,0,1
0,1,3200,13,8,2016,0,5
0,1,3205,13,8,2016,0,1
0,1,3200,13,8,2016,0,2
0,1,2450,13,9,2016,0,5
0,1,2400,13,9,2016,0,1
0,1,2290,13,10,2016,2,4
0,1,2275,13,10,2016,2,5
0,1,2450,13,10,2016,2,3
0,1,2525,13,10,2016,2,4
0,1,2457,13,11,2016,2,4
0,1,2575,13,0,2017,5,4
0,1,2575,13,1,2017,5,5
0,1,2550,13,1,2017,5,6
0,1,2630,13,1,2017,5,3
0,1,2615,13,2,2017,3,6
0,1,2600,13,2,2017,3,4
0,1,2600,13,2,2017,3,5
0,1,2600,13,2,2017,3,6
0,1,2610,13,2,2017,3,1
0,1,2635,13,3,2017,3,6
0,1,2610,13,3,2017,3,3
0,1,2740,13,3,2017,3,4
0,1,2741,13,3,2017,3,6
0,1,2840,13,3,2017,3,2
0,1,2625,13,6,2017,1,4
0,1,2615,13,6,2017,1,6
0,1,2690,13,6,2017,1,2
0,1,2875,13,8,2017,0,2
0,1,2700,13,8,2017,0,6
0,1,2875,13,8,2017,0,4
0,1,2940,13,8,2017,0,6
0,1,2775,13,8,2017,0,3
0,1,2625,13,9,2017,0,3
0,1,2550,13,9,2017,0,6
0,1,2500,13,9,2017,0,1
0,1,2450,13,10,2017,2,5
0,1,2420,13,10,2017,2,5
0,1,2400,13,10,2017,2,1
0,1,2416,13,10,2017,2,2
0,1,2460,13,10,2017,2,4
0,1,2450,13,10,2017,2,2
0,1,2620,13,10,2017,2,2
0,1,2611,13,10,2017,2,3
0,1,2650,13,10,2017,2,4
0,1,2597,13,11,2017,2,2
0,1,2740,13,11,2017,2,3
0,1,2740,13,11,2017,2,5
0,1,2820,13,11,2017,2,4
0,1,3000,13,0,2018,5,5
0,1,3150,13,0,2018,5,6
0,1,3275,13,0,2018,5,1
0,1,3465,13,1,2018,5,5
0,1,3430,13,1,2018,5,1
0,1,3241,13,1,2018,5,2
0,1,3306,13,1,2018,5,5
0,1,3470,13,1,2018,5,6
0,1,3579,13,1,2018,5,1
0,1,3520,13,1,2018,5,2
0,1,3500,13,1,2018,5,5
0,1,3531,13,2,2018,3,5
0,1,3702,13,3,2018,3,3
0,1,3564,13,3,2018,3,3
0,1,3400,13,3,2018,3,5
0,1,3496,13,3,2018,3,3
0,1,3250,13,4,2018,4,1
0,1,3250,13,4,2018,4,1
0,1,3205,13,5,2018,4,1
0,1,3250,13,5,2018,4,4
0,1,2875,13,5,2018,4,3
0,1,3300,13,6,2018,1,2
0,1,3350,13,6,2018,1,5
0,1,3350,13,7,2018,1,3
0,1,3300,13,7,2018,1,5
0,1,3150,13,7,2018,1,1
0,1,3150,13,8,2018,0,6
0,1,3070,13,8,2018,0,4
0,1,2825,13,9,2018,0,1
0,1,2840,13,9,2018,0,3
0,1,2930,13,9,2018,0,3
0,1,2975,13,9,2018,0,4
0,1,3025,13,9,2018,0,5
0,1,3100,13,9,2018,0,3
0,1,3050,13,9,2018,0,1
0,1,3150,13,9,2018,0,5
0,1,3175,13,10,2018,2,4
0,1,3250,13,10,2018,2,6
0,1,3340,13,10,2018,2,2
0,1,3275,13,11,2018,2,3
0,1,3250,13,11,2018,2,4
0,1,3240,13,11,2018,2,3
0,1,3220,13,11,2018,2,1
0,1,3240,13,11,2018,2,6
0,1,3275,13,11,2018,2,1
0,1,3745,13,7,2014,1,6
0,1,3062,13,9,2014,0,6
0,1,3290,13,10,2014,2,2
0,1,3310,13,0,2019,5,2
0,1,3520,13,0,2019,5,6
0,1,3615,13,0,2019,5,1
0,1,3585,13,0,2019,5,2
0,1,3600,13,0,2019,5,3
0,1,3726,13,0,2019,5,3
0,1,3600,13,1,2019,5,1
0,1,3560,13,1,2019,5,3
0,1,3570,13,3,2019,3,6
0,1,3480,13,4,2019,4,1
0,1,3590,13,4,2019,4,4
0,1,3645,13,4,2019,4,5
0,1,3568,13,5,2019,4,3
0,1,3580,13,5,2019,4,4
0,1,3500,13,5,2019,4,2
0,1,3550,13,5,2019,4,4
0,1,3540,13,5,2019,4,5
0,1,3225,13,6,2019,1,6
0,1,3536,13,6,2019,1,1
0,1,3465,13,6,2019,1,3
0,1,3605,13,6,2019,1,4
0,1,3542,13,6,2019,1,5
0,1,3560,13,7,2019,1,1
0,1,3550,13,7,2019,1,1
0,1,3400,13,7,2019,1,4
0,1,3615,13,8,2019,0,3
0,1,3575,13,8,2019,0,3
0,1,3675,13,8,2019,0,4
0,1,3771,13,8,2019,0,5
0,1,3705,13,8,2019,0,1
0,1,3620,13,9,2019,0,4
0,1,3350,13,9,2019,0,1
0,1,3050,13,9,2019,0,2
0,1,3150,13,9,2019,0,3
0,1,3200,13,10,2019,2,6
0,1,3200,13,10,2019,2,5
0,1,3050,13,10,2019,2,1
0,1,3320,13,10,2019,2,6
0,1,3425,13,11,2019,2,1
0,1,3500,13,11,2019,2,1
0,1,3750,13,11,2019,2,6
0,1,3750,13,11,2019,2,2
0,1,5110,13,0,2023,5,2
0,1,5125,13,1,2023,5,5
0,1,5140,13,1,2023,5,4
0,1,5205,13,1,2023,5,4
0,1,5214,13,1,2023,5,5
0,1,5212,13,1,2023,5,6
0,1,5092,13,2,2023,3,4
0,1,5082,13,2,2023,3,2
0,1,5025,13,2,2023,3,5
0,1,5030,13,2,2023,3,2
0,1,5112,13,3,2023,3,3
0,1,5090,13,3,2023,3,1
0,1,5050,13,3,2023,3,4
0,1,4905,13,3,2023,3,6
0,1,4760,13,4,2023,4,5
0,1,5038,13,6,2023,1,1
0,1,4888,13,6,2023,1,1
0,1,4890,13,6,2023,1,2
0,1,4739,13,6,2023,1,3
0,1,4783,13,10,2023,2,5
0,1,4710,13,10,2023,2,6
0,1,4728,13,10,2023,2,1
0,1,5054,13,10,2023,2,3
0,1,4942,13,10,2023,2,2
0,1,4809,13,11,2023,2,1
0,1,4785,13,11,2023,2,3
0,1,4744,13,11,2023,2,5
0,1,4718,13,11,2023,2,5
0,1,4752,13,11,2023,2,6
0,1,3850,13,0,2020,5,2
0,1,3492,13,5,2020,4,1
0,1,3500,13,5,2020,4,4
0,1,3326,13,5,2020,4,2
0,1,3220,13,5,2020,4,4
0,1,3450,13,5,2020,4,5
0,1,3500,13,5,2020,4,6
0,1,3350,13,6,2020,1,4
0,1,3340,13,6,2020,1,6
0,1,3570,13,6,2020,1,2
0,1,3530,13,6,2020,1,2
0,1,3573,13,8,2020,0,6
0,1,4125,13,0,2021,5,5
0,1,6450,13,5,2021,4,6
0,1,6675,13,5,2021,4,4
0,1,7020,13,5,2021,4,6
0,1,6900,13,5,2021,4,2
0,1,5250,13,8,2021,0,3
0,1,5100,13,9,2021,0,1
0,1,4900,13,9,2021,0,4
0,1,4795,13,9,2021,0,5
0,1,4950,13,10,2021,2,1
0,1,6395,13,10,2021,2,5
0,1,5865,13,11,2021,2,4
0,1,6150,13,5,2022,4,1
0,1,4437,13,4,2024,4,6
0,1,4508,13,4,2024,4,1
0,1,4431,13,4,2024,4,1
0,1,4480,13,4,2024,4,5
0,1,4439,13,4,2024,4,4
0,1,4386,13,5,2024,4,2
0,1,4369,13,6,2024,1,6
0,1,4148,13,6,2024,1,4
0,1,4198,13,6,2024,1,3
0,1,4150,13,5,2014,4,2
0,1,3700,13,5,2014,4,4
0,1,3050,13,9,2014,0,6
0,1,3050,13,9,2014,0,1
0,1,3365,13,9,2014,0,4
0,1,3300,13,10,2014,2,5
0,1,3205,13,10,2014,2,6
0,1,3240,13,10,2014,2,4
0,1,3315,13,10,2014,2,1
0,1,3355,13,10,2014,2,4
0,1,3200,13,10,2014,2,5
0,1,3678,13,0,2016,5,6
0,1,3660,13,0,2016,5,1
0,1,3640,13,0,2016,5,4
0,1,3642,13,0,2016,5,2
0,1,3751,13,0,2016,5,3
0,1,3738,13,1,2016,5,2
0,1,3710,13,1,2016,5,2
0,1,3700,13,1,2016,5,3
0,1,3750,13,1,2016,5,1
0,1,3651,13,2,2016,3,4
0,1,3651,13,2,2016,3,5
0,1,3740,13,2,2016,3,2
0,1,3725,13,2,2016,3,6
0,1,3735,13,2,2016,3,1
0,1,3850,13,3,2016,3,6
0,1,3900,13,3,2016,3,1
0,1,4085,13,3,2016,3,3
0,1,3800,13,5,2016,4,5
0,1,3805,13,5,2016,4,3
0,1,3775,13,5,2016,4,3
0,1,3800,13,5,2016,4,4
0,1,3716,13,6,2016,1,6
0,1,3515,13,6,2016,1,5
0,1,3465,13,7,2016,1,1
0,1,3475,13,7,2016,1,2
0,1,3340,13,7,2016,1,2
0,1,3225,13,7,2016,1,2
0,1,3275,13,8,2016,0,2
0,1,3275,13,8,2016,0,3
0,1,3305,13,8,2016,0,2
0,1,3150,13,8,2016,0,3
0,1,3150,13,8,2016,0,4
0,1,3200,13,9,2016,0,2
0,1,2030,13,10,2016,2,3
0,1,2675,13,11,2016,2,1
0,1,2675,13,11,2016,2,2
0,1,3530,13,6,2015,1,6
0,1,3515,13,6,2015,1,1
0,1,3515,13,6,2015,1,5
0,1,3300,13,7,2015,1,3
0,1,3315,13,7,2015,1,1
0,1,3200,13,8,2015,0,1
0,1,3401,13,8,2015,0,6
0,1,3530,13,9,2015,0,6
0,1,3950,13,9,2015,0,3
0,1,3756,13,9,2015,0,4
0,1,3720,13,9,2015,0,6
0,1,3700,13,10,2015,2,1
0,1,3760,13,10,2015,2,6
0,1,3650,13,11,2015,2,1
0,1,3571,13,11,2015,2,4
0,1,3730,13,11,2015,2,2
0,1,3700,13,11,2015,2,3
0,1,3685,13,11,2015,2,3
0,1,2565,13,1,2017,5,5
0,1,2575,13,2,2017,3,2
0,1,2600,13,2,2017,3,2
0,1,2675,13,2,2017,3,4
0,1,2610,13,3,2017,3,1
0,1,2837,13,3,2017,3,3
0,1,2835,13,3,2017,3,4
0,1,2600,13,5,2017,4,5
0,1,2681,13,6,2017,1,1
0,1,2513,13,6,2017,1,3
0,1,2630,13,6,2017,1,1
0,1,2700,13,6,2017,1,6
0,1,2775,13,7,2017,1,2
0,1,2735,13,7,2017,1,2
0,1,2830,13,7,2017,1,3
0,1,2970,13,7,2017,1,2
0,1,2923,13,8,2017,0,4
0,1,2935,13,8,2017,0,4
0,1,2800,13,8,2017,0,2
0,1,2575,13,9,2017,0,4
0,1,2500,13,9,2017,0,5
0,1,2437,13,10,2017,2,3
0,1,2480,13,10,2017,2,4
0,1,2460,13,10,2017,2,1
0,1,2750,13,11,2017,2,2
0,1,2775,13,11,2017,2,3
0,1,2558,13,11,2017,2,5
0,1,2900,13,0,2018,5,4
0,1,2965,13,0,2018,5,1
0,1,3050,13,0,2018,5,6
0,1,3100,13,0,2018,5,3
0,1,3265,13,0,2018,5,4
0,1,3587,13,1,2018,5,6
0,1,3535,13,1,2018,5,4
